path    axes  conc   strain   image      delta_E     pot         d_pot 
1       3     0.25     LT     10        -0.0000   -21.0515    -0.0001
    
2       1     0.25     LT      0         0.0000   -21.1789     0.0000
2       1     0.25     LT      1         0.0827   -21.2296     0.0507
2       1     0.25     LT      2         0.2119   -21.2994     0.1205
2       1     0.25     LT      3         0.3048   -21.4047     0.2258
2       1     0.25     LT      4         0.3795   -21.5281     0.3492
2       1     0.25     LT      5         0.4194   -21.6029     0.4240
2       1     0.25     LT      6         0.3794   -21.5278     0.3489
2       1     0.25     LT      7         0.3047   -21.4045     0.2256
2       1     0.25     LT      8         0.2117   -21.2995     0.1206
2       1     0.25     LT      9         0.0825   -21.2372     0.0583
2       1     0.25     LT     10        -0.0000   -21.1886     0.0097
    
2       2     0.25     LT      0         0.0000   -21.0476     0.0000
2       2     0.25     LT      1         0.0875   -21.1036     0.0560
2       2     0.25     LT      2         0.2279   -21.2082     0.1606
2       2     0.25     LT      3         0.3290   -21.3434     0.2958
2       2     0.25     LT      4         0.4043   -21.4987     0.4511
2       2     0.25     LT      5         0.4449   -21.5870     0.5394
2       2     0.25     LT      6         0.4043   -21.4987     0.4511
2       2     0.25     LT      7         0.3290   -21.3428     0.2952
2       2     0.25     LT      8         0.2278   -21.2081     0.1605
2       2     0.25     LT      9         0.0874   -21.1006     0.0530
2       2     0.25     LT     10        -0.0000   -21.0473    -0.0003
    
2       3     0.25     LT      0         0.0000   -21.0450     0.0000
2       3     0.25     LT      1         0.0851   -21.0972     0.0522
2       3     0.25     LT      2         0.2264   -21.2025     0.1575
2       3     0.25     LT      3         0.3283   -21.3377     0.2927
2       3     0.25     LT      4         0.4040   -21.4934     0.4484
2       3     0.25     LT      5         0.4449   -21.5819     0.5369
2       3     0.25     LT      6         0.4040   -21.4935     0.4485
2       3     0.25     LT      7         0.3283   -21.3377     0.2927
2       3     0.25     LT      8         0.2265   -21.2025     0.1575
2       3     0.25     LT      9         0.0852   -21.1001     0.0551
2       3     0.25     LT     10        -0.0000   -21.0437    -0.0013
    
3       1     0.25     LT      0         0.0000   -21.4155     0.0000
3       1     0.25     LT      1         0.0558   -21.4331     0.0176
3       1     0.25     LT      2         0.1900   -21.4781     0.0626
3       1     0.25     LT      3         0.2350   -21.5396     0.1241
3       1     0.25     LT      4         0.2871   -21.6096     0.1941
3       1     0.25     LT      5         0.3099   -21.6128     0.1973
3       1     0.25     LT      6         0.2633   -21.4509     0.0354
3       1     0.25     LT      7         0.1829   -21.2285    -0.1870
3       1     0.25     LT      8         0.0741   -21.0604    -0.3551
3       1     0.25     LT      9        -0.0950   -20.9170    -0.4985
3       1     0.25     LT     10        -0.1904   -20.8318    -0.5837
    
3R      1     0.25     LT      0         0.0000   -20.8318     0.0000
3R      1     0.25     LT      1         0.0954   -20.9170     0.0852
3R      1     0.25     LT      2         0.2646   -21.0604     0.2286
3R      1     0.25     LT      3         0.3733   -21.2285     0.3967
3R      1     0.25     LT      4         0.4537   -21.4509     0.6191
3R      1     0.25     LT      5         0.5003   -21.6128     0.7810
3R      1     0.25     LT      6         0.4776   -21.6096     0.7778
3R      1     0.25     LT      7         0.4254   -21.5396     0.7078
3R      1     0.25     LT      8         0.3804   -21.4781     0.6463
3R      1     0.25     LT      9         0.2462   -21.4331     0.6013
3R      1     0.25     LT     10         0.1904   -21.4155     0.5837
    
3       2     0.25     LT      0         0.0000   -21.2920     0.0000
3       2     0.25     LT      1         0.0449   -21.3186     0.0266
3       2     0.25     LT      2         0.1646   -21.3910     0.0990
3       2     0.25     LT      3         0.2508   -21.4893     0.1973
3       2     0.25     LT      4         0.3126   -21.5937     0.3017
3       2     0.25     LT      5         0.3431   -21.5967     0.3047
3       2     0.25     LT      6         0.3043   -21.4151     0.1231
3       2     0.25     LT      7         0.2255   -21.2041    -0.0879
3       2     0.25     LT      8         0.1140   -21.0289    -0.2631
3       2     0.25     LT      9        -0.0468   -20.8926    -0.3994
3       2     0.25     LT     10        -0.1096   -20.8236    -0.4684
    
3R      2     0.25     LT      0         0.0000   -20.8236     0.0000
3R      2     0.25     LT      1         0.0627   -20.8926     0.0690
3R      2     0.25     LT      2         0.2236   -21.0289     0.2053
3R      2     0.25     LT      3         0.3351   -21.2041     0.3805
3R      2     0.25     LT      4         0.4139   -21.4151     0.5915
3R      2     0.25     LT      5         0.4527   -21.5967     0.7731
3R      2     0.25     LT      6         0.4222   -21.5937     0.7701
3R      2     0.25     LT      7         0.3604   -21.4893     0.6657
3R      2     0.25     LT      8         0.2741   -21.3910     0.5674
3R      2     0.25     LT      9         0.1544   -21.3186     0.4950
3R      2     0.25     LT     10         0.1096   -21.2920     0.4684
    
3       3     0.25     LT      0         0.0000   -21.4369     0.0000
3       3     0.25     LT      1         0.0550   -21.4546     0.0177
3       3     0.25     LT      2         0.1882   -21.4998     0.0629
3       3     0.25     LT      3         0.2334   -21.5619     0.1250
3       3     0.25     LT      4         0.2852   -21.6320     0.1951
3       3     0.25     LT      5         0.3076   -21.6348     0.1979
3       3     0.25     LT      6         0.2611   -21.4750     0.0381
3       3     0.25     LT      7         0.1688   -21.2496    -0.1873
3       3     0.25     LT      8         0.0707   -21.0805    -0.3564
3       3     0.25     LT      9        -0.0986   -20.9371    -0.4998
3       3     0.25     LT     10        -0.1929   -20.8525    -0.5844
    
3R      3     0.25     LT      0         0.0000   -20.8525     0.0000
3R      3     0.25     LT      1         0.0943   -20.9371     0.0846
3R      3     0.25     LT      2         0.2635   -21.0805     0.2280
3R      3     0.25     LT      3         0.3617   -21.2496     0.3971
3R      3     0.25     LT      4         0.4540   -21.4750     0.6225
3R      3     0.25     LT      5         0.5005   -21.6348     0.7823
