path   conc  strain   image     delta_E     pot         d_pot 
2       0.50     LM      1         0.0791   -21.4041     0.0470
2       0.50     LM      2         0.2140   -21.4981     0.1410
2       0.50     LM      3         0.3245   -21.6460     0.2889
2       0.50     LM      4         0.4048   -21.8190     0.4619
2       0.50     LM      5         0.4371   -21.9070     0.5499
2       0.50     LM      6         0.4049   -21.8197     0.4626
2       0.50     LM      7         0.3245   -21.6462     0.2891
2       0.50     LM      8         0.2139   -21.4979     0.1408
2       0.50     LM      9         0.0790   -21.4033     0.0462
2       0.50     LM     10        -0.0000   -21.3572     0.0001
    
3       0.50     LM      0         0.0000   -21.1523     0.0000
3       0.50     LM      1         0.0613   -21.2562     0.1039
3       0.50     LM      2         0.1677   -21.3765     0.2242
3       0.50     LM      3         0.2427   -21.5470     0.3947
3       0.50     LM      4         0.2948   -21.7973     0.6450
3       0.50     LM      5         0.3202   -22.0074     0.8551
3       0.50     LM      6         0.3067   -22.0222     0.8699
3       0.50     LM      7         0.2571   -21.9385     0.7862
3       0.50     LM      8         0.1746   -21.8455     0.6932
3       0.50     LM      9         0.0739   -21.7987     0.6464
3       0.50     LM     10         0.0172   -21.7965     0.6442
    
3R      0.50     LM      0         0.0000   -21.7965     0.0000
3R      0.50     LM      1         0.0567   -21.7987     0.0022
3R      0.50     LM      2         0.1574   -21.8455     0.0490
3R      0.50     LM      3         0.2399   -21.9385     0.1420
3R      0.50     LM      4         0.2895   -22.0222     0.2257
3R      0.50     LM      5         0.3030   -22.0074     0.2109
3R      0.50     LM      6         0.2776   -21.7973     0.0008
3R      0.50     LM      7         0.2255   -21.5470    -0.2495
3R      0.50     LM      8         0.1505   -21.3765    -0.4200
3R      0.50     LM      9         0.0441   -21.2562    -0.5403
3R      0.50     LM     10        -0.0172   -21.1523    -0.6442
    
1       0.50     LT      0         0.0000   -22.6822     0.0000
1       0.50     LT      1         0.0441   -22.6882     0.0060
1       0.50     LT      2         0.1467   -22.7390     0.0568
1       0.50     LT      3         0.2342   -22.8695     0.1873
1       0.50     LT      4         0.3101   -23.0206     0.3384
1       0.50     LT      5         0.3369   -23.0510     0.3688
1       0.50     LT      6         0.3100   -23.0200     0.3378
1       0.50     LT      7         0.2341   -22.8696     0.1874
1       0.50     LT      8         0.1465   -22.7393     0.0571
1       0.50     LT      9         0.0439   -22.6871     0.0049
1       0.50     LT     10         0.0076   -22.6772    -0.0050
    
2       0.50     LT      0         0.0000   -22.6867     0.0000
2       0.50     LT      1         0.0429   -22.6907     0.0040
2       0.50     LT      2         0.1409   -22.7327     0.0460
2       0.50     LT      3         0.2504   -22.8681     0.1814
2       0.50     LT      4         0.3465   -23.0306     0.3439
2       0.50     LT      5         0.3858   -23.1060     0.4193
2       0.50     LT      6         0.3464   -23.0303     0.3436
2       0.50     LT      7         0.2501   -22.8676     0.1809
2       0.50     LT      8         0.1406   -22.7325     0.0458
2       0.50     LT      9         0.0859   -22.6869     0.0002
2       0.50     LT     10         0.0000   -22.6876     0.0009
    
3       0.50     LT      0         0.0000   -22.3951     0.0000
3       0.50     LT      1         0.0287   -22.4731     0.0780
3       0.50     LT      2         0.0962   -22.5359     0.1408
3       0.50     LT      3         0.1854   -22.6930     0.2979
3       0.50     LT      4         0.2908   -22.9464     0.5513
3       0.50     LT      5         0.3765   -23.2065     0.8114
3       0.50     LT      6         0.4044   -23.3073     0.9122
3       0.50     LT      7         0.3760   -23.2787     0.8836
3       0.50     LT      8         0.3196   -23.2170     0.8219
3       0.50     LT      9         0.2682   -23.2025     0.8074
3       0.50     LT     10         0.2449   -23.2536     0.8585
    
3R      0.50     LT      0         0.0000   -23.2536     0.0000
3R      0.50     LT      1         0.0233   -23.2025    -0.0511
3R      0.50     LT      2         0.0747   -23.2170    -0.0366
3R      0.50     LT      3         0.1311   -23.2787     0.0251
3R      0.50     LT      4         0.1595   -23.3073     0.0537
3R      0.50     LT      5         0.1316   -23.2065    -0.0471
3R      0.50     LT      6         0.0459   -22.9464    -0.3072
3R      0.50     LT      7        -0.0595   -22.6930    -0.5606
3R      0.50     LT      8        -0.1487   -22.5359    -0.7177
3R      0.50     LT      9        -0.2162   -22.4731    -0.7805
3R      0.50     LT     10        -0.2449   -22.3951    -0.8585
    
